id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,
422803,en,A Shaun the Sheep Movie: Farmageddon,"When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",20.672,43734,A Shaun the Sheep Movie: Farmageddon,7.1,247,
620683,pt,My Mom is a Character 3,Dona HermÃ­nia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,5.938,43825,My Mom is a Character 3,8.3,352,
445629,en,Fighting with My Family,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",24.394,43510,Fighting with My Family,6.8,1054,
491283,en,Judy,"Winter 1968 and showbiz legend Judy Garland arrives in Swinging London to perform a five-week sold-out run at The Talk of the Town. It is 30 years since she shot to global stardom in The Wizard of Oz, but if her voice has weakened, its dramatic intensity has only grown. As she prepares for the show, battles with management, charms musicians and reminisces with friends and adoring fans, her wit and warmth shine through. Even her dreams of love seem undimmed as she embarks on a whirlwind romance with Mickey Deans, her soon-to-be fifth husband.",15.738,43735,Judy,6.8,747,
509730,en,The Queen's Corgi,"Since his arrival at Buckingham palace, Rex lives a life of luxury. Top dog, he has superseded his three fellow Corgis in Her Majestyâ€™s heart. His arrogance can be quite irritating. When he causes a diplomatic incident during an official dinner with the President of the United States, he falls into disgrace. Betrayed by one of his peers, Rex becomes a stray dog in the streets of London. How can he redeem himself? In love, he will find the resources to surpass himself in the face of great dangerâ€¦",19.036,43509,The Queen's Corgi,6,268,
541487,te,Maharshi,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?",3.314,43594,Maharshi,6.8,13,
491625,hi,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,7.718,43510,Gully Boy,7.6,96,
292011,en,Richard Jewell,"Richard Jewell thinks quick, works fast, and saves hundreds, perhaps thousands, of lives after a domestic terrorist plants several pipe bombs and they explode during a concert, only to be falsely suspected of the crime by sloppy FBI work and sensational media coverage.",21.262,43812,Richard Jewell,7.5,1447,
511322,en,The Good Liar,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",16.673,43777,The Good Liar,6.7,586,
522924,en,The Art of Racing in the Rain,"A family dogâ€”with a near-human soul and a philosopher's mindâ€”evaluates his life through the lessons learned by his human owner, a race-car driver.",41.768,43685,The Art of Racing in the Rain,8.4,776,
531309,en,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",31.508,43594,Brightburn,6,1940,
449562,en,The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naÃ¯ve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",50.19,43594,The Hustle,6.3,1694,
454458,en,UglyDolls,"In the adorably different town of Uglyville, weirdness is celebrated, strangeness is special and beauty is embraced as more than meets the eye. After traveling to the other side of a mountain, Moxy and her UglyDoll friends discover Perfection -- a town where more conventional dolls receive training before entering the real world to find the love of a child.",25.587,43586,UglyDolls,6.7,309,
454294,en,The Kid Who Would Be King,"Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",15.139,43481,The Kid Who Would Be King,6.1,498,
484641,fr,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,120.267,43635,Anna,6.7,1588,
